iter	Logloss
0	0.6917814216
1	0.6904433573
2	0.6886298591
3	0.6870254593
4	0.6851997349
5	0.6837797186
6	0.682027754
7	0.6802080396
8	0.6790197475
9	0.676643837
10	0.675617399
11	0.6738405676
12	0.6725723342
13	0.6708755435
14	0.6691702022
15	0.6678360634
16	0.6661991792
17	0.6648666171
18	0.6634613719
19	0.6622771006
20	0.6606891192
21	0.6594378961
22	0.6581332365
23	0.6564916746
24	0.6541613395
25	0.652201658
26	0.6505412262
27	0.6491211467
28	0.6476437585
29	0.6465262351
30	0.6449772617
31	0.644092674
32	0.6426102569
33	0.6411301831
34	0.6397512988
35	0.6379698072
36	0.6363746526
37	0.63509581
38	0.6343758044
39	0.6328075906
40	0.63095156
41	0.6293474174
42	0.6278863499
43	0.6266066157
44	0.6251114802
45	0.6233961513
46	0.6220848702
47	0.621183129
48	0.620425603
49	0.6185985565
50	0.6171197222
51	0.6157153047
52	0.6141276309
53	0.6125002568
54	0.611401203
55	0.6102807724
56	0.6086905447
57	0.6071677919
58	0.6062646554
59	0.605403614
60	0.6043918055
61	0.6033929146
62	0.6024054582
63	0.6018041987
64	0.6008545981
65	0.5996505572
66	0.5984432908
67	0.5970323022
68	0.595668061
69	0.5944427417
70	0.5926260829
71	0.5915976786
72	0.5903874727
73	0.5892443634
74	0.5878908653
75	0.5868605866
76	0.5857525986
77	0.5843595986
78	0.582961104
79	0.581666951
80	0.5805166873
81	0.579035571
82	0.5774742901
83	0.5757357955
84	0.5747018915
85	0.5737711751
86	0.5725310972
87	0.5713690377
88	0.5701294638
89	0.5693347839
90	0.5677241119
91	0.5668581394
92	0.5658314705
93	0.5644707304
94	0.5630986966
95	0.5620227392
96	0.5609629273
97	0.5600103516
98	0.5588793415
99	0.5578581517
100	0.5573423945
101	0.5565033243
102	0.5555503955
103	0.5545717349
104	0.5534028429
105	0.5519794125
106	0.5508728614
107	0.5500749359
108	0.5490612012
109	0.5482375328
110	0.5471117423
111	0.5461804876
112	0.5448658182
113	0.5434638656
114	0.5426171715
115	0.5419693369
116	0.5411461949
117	0.5404600244
118	0.5391968021
